kg_id,complete,coverage,reference_fields,generated_fields,missing_fields,missing_profile_information,unexpected_profile_information
LatinWordnetLiLa,0,0.7778,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects,
Latin_Vallex2.0,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
LemmaBank,0,0.8000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects,
LewisShort,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
LucaniPharsalia,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
NITP,0,0.6250,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset,
NLW,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
Naturopathy,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:triples,dcterms:identifier; dcterms:issued; dcterms:modified; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource,linkset,
NoiPA,1,1.0000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:modified; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,,distinct_objects; distinct_subjects; feature; linkset,
Norway_Fishery_,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
OLU,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
OTM,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
Open_Land_Use,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
Organchem-Data,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,linkset,
PGxLOD,1,1.0000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:exampleResource; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:uriRegexPattern; void:vocabulary,,distinct_objects; distinct_subjects; linkset,
PREJUST4WOMAN_PROJECT,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:triples,dcterms:publisher; foaf:homepage; void:sparqlEndpoint,linkset; vocabularies,
PrinParLat,0,0.7778,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects,
Querolus,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
SDG,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,feature; linkset,
Smart_POI_dataset,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
Soil_maps,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
Swift,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:dataDump,linkset,
TP-data,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,linkset,
UDante,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
UniProt,0,0.7500,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:issued; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:properties; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher,classes; distinct_objects; distinct_subjects; entities; property_partition,
Urban_Atlas_Dataset,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
VelezIndexTotiusArtis,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
Water_Areas_Classification,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
